strategy,s,l,b,c,d,contrarian,mean_excess_return_bps,sharpe_ratio,sharpe_ratio_diff,n_trades,total_return,benchmark_return,betc,n,x,v,k,net_excess_return_bps
"MAc(2,10,0.01,0,0)",2.0,10.0,0.01,0,0.0,True,0.05851986666816,1.2131636470108462,0.685311536830426,2453,6.534353084737378,2.8433939062298514,13.319105350055803,,,,,-0.01926425306801452
"MAc(2,10,0.01,1,0)",2.0,10.0,0.01,1,0.0,True,0.05851986666816,1.2131636470108462,0.685311536830426,2453,6.534353084737378,2.8433939062298514,13.319105350055803,,,,,-0.01926425306801452
"MAc(2,10,0.01,2,0)",2.0,10.0,0.01,2,0.0,True,0.0582717395691312,1.210258066186141,0.6824059560057208,2453,6.518703237160143,2.8433939062298514,13.2872059461071,,,,,-0.01951238016704332
"MAc(2,10,0.01,0,2)",2.0,10.0,0.01,0,2.0,True,0.0503853641762062,1.117916776938179,0.5900646667577588,2445,6.021294557015115,2.8433939062298514,12.313485801666902,,,,,-0.02714507722409821
"MAc(2,10,0.01,1,2)",2.0,10.0,0.01,1,2.0,True,0.0503853641762062,1.117916776938179,0.5900646667577588,2445,6.021294557015115,2.8433939062298514,12.313485801666902,,,,,-0.02714507722409821
"MAc(2,10,0.01,2,2)",2.0,10.0,0.01,2,2.0,True,0.0503853641762062,1.117916776938179,0.5900646667577588,2445,6.021294557015115,2.8433939062298514,12.313485801666902,,,,,-0.02714507722409821
"MAc(3,15,0.01,1,1)",3.0,15.0,0.01,1,1.0,True,0.0365830592418412,0.9562171277416212,0.428365017561201,2550,5.150756960425335,2.8433939062298514,10.099523451814385,,,,,-0.0442769103167585
"MAc(3,15,0.01,0,1)",3.0,15.0,0.01,0,1.0,True,0.0365830592418412,0.9562171277416212,0.428365017561201,2550,5.150756960425335,2.8433939062298514,10.099523451814385,,,,,-0.0442769103167585
"MAc(7,10,0.01,0,0)",7.0,10.0,0.01,0,0.0,True,0.0358595994426504,0.9488728077069868,0.4210206975265664,151,5.105126976316755,2.8433939062298514,169.04393961313758,,,,,0.03107142085310195
"MAc(7,10,0.01,1,0)",7.0,10.0,0.01,1,0.0,True,0.0358595994426504,0.9488728077069868,0.4210206975265664,151,5.105126976316755,2.8433939062298514,169.04393961313758,,,,,0.03107142085310195
"MAc(7,10,0.01,2,0)",7.0,10.0,0.01,2,0.0,True,0.0358595994426504,0.9488728077069868,0.4210206975265664,151,5.105126976316755,2.8433939062298514,169.04393961313758,,,,,0.03107142085310195
"MAc(3,15,0.01,2,1)",3.0,15.0,0.01,2,1.0,True,0.0358590776247891,0.9477399236147588,0.4198878134343385,2550,5.105094064272787,2.8433939062298514,10.00998836131919,,,,,-0.0450008919338106
"MAc(7,10,0.01,0,2)",7.0,10.0,0.01,0,2.0,True,0.0308561448508008,0.8902295887564843,0.362377478576064,151,4.789549588645079,2.8433939062298514,158.59435723990327,,,,,0.026067966261252348
"MAc(7,10,0.01,2,2)",7.0,10.0,0.01,2,2.0,True,0.0308561448508008,0.8902295887564843,0.362377478576064,151,4.789549588645079,2.8433939062298514,158.59435723990327,,,,,0.026067966261252348
"MAc(7,10,0.01,1,2)",7.0,10.0,0.01,1,2.0,True,0.0308561448508008,0.8902295887564843,0.362377478576064,151,4.789549588645079,2.8433939062298514,158.59435723990327,,,,,0.026067966261252348
"MAc(7,10,0.01,0,1)",7.0,10.0,0.01,0,1.0,True,0.0302478539077737,0.8830970753517648,0.3552449651713446,151,4.751183523115568,2.8433939062298514,157.32395771905854,,,,,0.02545967531822525
"MAc(7,10,0.01,1,1)",7.0,10.0,0.01,1,1.0,True,0.0302478539077737,0.8830970753517648,0.3552449651713446,151,4.751183523115568,2.8433939062298514,157.32395771905854,,,,,0.02545967531822525
"MAc(7,10,0.01,2,1)",7.0,10.0,0.01,2,1.0,True,0.0302478539077737,0.8830970753517648,0.3552449651713446,151,4.751183523115568,2.8433939062298514,157.32395771905854,,,,,0.02545967531822525
"MAc(3,10,0.01,1,2)",3.0,10.0,0.01,1,2.0,True,0.0195629356445692,0.7569850245726126,0.2291329143921924,1623,4.077265426910562,2.8433939062298514,12.560891641745416,,,,,-0.031902056745080724
